Name,Values
productConsolidation,['SLICE']
instrumentShortName,['SAR']
swathIdentifier,"['5', '2', '4', '6', '1', '3']"
processingLevel,['LEVEL0']
operationalMode,['SM']
polarisationChannels,"['HH', 'HH&HV', 'VV', 'VH&VV']"
cycleNumber,"[287, 288, 289, 290, 291, 292, 293, 294, 295, 296, 297, 298, 299, 300, 301, 302, 303, 304, 305, 306, 307, 308, 309, 310, 311, 312, 313, 314, 315, 316, 317, 318, 319, 320, 321]"
